Voices,Path
pathology,data/DataSets/Disorder Voices/1.wav
pathology,data/DataSets/Disorder Voices/10.wav
pathology,data/DataSets/Disorder Voices/100.wav
pathology,data/DataSets/Disorder Voices/1000.wav
pathology,data/DataSets/Disorder Voices/1001.wav
pathology,data/DataSets/Disorder Voices/1002.wav
pathology,data/DataSets/Disorder Voices/1003.wav
pathology,data/DataSets/Disorder Voices/1004.wav
pathology,data/DataSets/Disorder Voices/1005.wav
pathology,data/DataSets/Disorder Voices/1006.wav
pathology,data/DataSets/Disorder Voices/1007.wav
pathology,data/DataSets/Disorder Voices/1008.wav
pathology,data/DataSets/Disorder Voices/1009.wav
pathology,data/DataSets/Disorder Voices/101.wav
pathology,data/DataSets/Disorder Voices/1010.wav
pathology,data/DataSets/Disorder Voices/1011.wav
pathology,data/DataSets/Disorder Voices/1012.wav
pathology,data/DataSets/Disorder Voices/1013.wav
pathology,data/DataSets/Disorder Voices/1014.wav
pathology,data/DataSets/Disorder Voices/1015.wav
pathology,data/DataSets/Disorder Voices/1016.wav
pathology,data/DataSets/Disorder Voices/1017.wav
pathology,data/DataSets/Disorder Voices/1018.wav
pathology,data/DataSets/Disorder Voices/1019.wav
pathology,data/DataSets/Disorder Voices/102.wav
pathology,data/DataSets/Disorder Voices/1020.wav
pathology,data/DataSets/Disorder Voices/1021.wav
pathology,data/DataSets/Disorder Voices/1022.wav
pathology,data/DataSets/Disorder Voices/1023.wav
pathology,data/DataSets/Disorder Voices/1024.wav
pathology,data/DataSets/Disorder Voices/1025.wav
pathology,data/DataSets/Disorder Voices/1026.wav
pathology,data/DataSets/Disorder Voices/1027.wav
pathology,data/DataSets/Disorder Voices/1028.wav
pathology,data/DataSets/Disorder Voices/1029.wav
pathology,data/DataSets/Disorder Voices/103.wav
pathology,data/DataSets/Disorder Voices/1030.wav
pathology,data/DataSets/Disorder Voices/1031.wav
pathology,data/DataSets/Disorder Voices/1032.wav
pathology,data/DataSets/Disorder Voices/1033.wav
pathology,data/DataSets/Disorder Voices/1034.wav
pathology,data/DataSets/Disorder Voices/1035.wav
pathology,data/DataSets/Disorder Voices/1036.wav
pathology,data/DataSets/Disorder Voices/1037.wav
pathology,data/DataSets/Disorder Voices/1038.wav
pathology,data/DataSets/Disorder Voices/1039.wav
pathology,data/DataSets/Disorder Voices/104.wav
pathology,data/DataSets/Disorder Voices/1040.wav
pathology,data/DataSets/Disorder Voices/1041.wav
pathology,data/DataSets/Disorder Voices/1042.wav
pathology,data/DataSets/Disorder Voices/1043.wav
pathology,data/DataSets/Disorder Voices/1044.wav
pathology,data/DataSets/Disorder Voices/1045.wav
pathology,data/DataSets/Disorder Voices/1046.wav
pathology,data/DataSets/Disorder Voices/1047.wav
pathology,data/DataSets/Disorder Voices/1048.wav
pathology,data/DataSets/Disorder Voices/1049.wav
pathology,data/DataSets/Disorder Voices/105.wav
pathology,data/DataSets/Disorder Voices/1050.wav
pathology,data/DataSets/Disorder Voices/1051.wav
pathology,data/DataSets/Disorder Voices/1052.wav
pathology,data/DataSets/Disorder Voices/1053.wav
pathology,data/DataSets/Disorder Voices/1054.wav
pathology,data/DataSets/Disorder Voices/1055.wav
pathology,data/DataSets/Disorder Voices/1056.wav
pathology,data/DataSets/Disorder Voices/1057.wav
pathology,data/DataSets/Disorder Voices/1058.wav
pathology,data/DataSets/Disorder Voices/1059.wav
pathology,data/DataSets/Disorder Voices/106.wav
pathology,data/DataSets/Disorder Voices/1060.wav
pathology,data/DataSets/Disorder Voices/1061.wav
pathology,data/DataSets/Disorder Voices/1062.wav
pathology,data/DataSets/Disorder Voices/1063.wav
pathology,data/DataSets/Disorder Voices/1064.wav
pathology,data/DataSets/Disorder Voices/1065.wav
pathology,data/DataSets/Disorder Voices/1066.wav
pathology,data/DataSets/Disorder Voices/1067.wav
pathology,data/DataSets/Disorder Voices/1068.wav
pathology,data/DataSets/Disorder Voices/1069.wav
pathology,data/DataSets/Disorder Voices/107.wav
pathology,data/DataSets/Disorder Voices/1070.wav
pathology,data/DataSets/Disorder Voices/1071.wav
pathology,data/DataSets/Disorder Voices/1072.wav
pathology,data/DataSets/Disorder Voices/1073.wav
pathology,data/DataSets/Disorder Voices/1074.wav
pathology,data/DataSets/Disorder Voices/1075.wav
pathology,data/DataSets/Disorder Voices/1076.wav
pathology,data/DataSets/Disorder Voices/1077.wav
pathology,data/DataSets/Disorder Voices/1078.wav
pathology,data/DataSets/Disorder Voices/1079.wav
pathology,data/DataSets/Disorder Voices/108.wav
pathology,data/DataSets/Disorder Voices/1080.wav
pathology,data/DataSets/Disorder Voices/1081.wav
pathology,data/DataSets/Disorder Voices/1082.wav
pathology,data/DataSets/Disorder Voices/1083.wav
pathology,data/DataSets/Disorder Voices/1084.wav
pathology,data/DataSets/Disorder Voices/1085.wav
pathology,data/DataSets/Disorder Voices/1086.wav
pathology,data/DataSets/Disorder Voices/1087.wav
pathology,data/DataSets/Disorder Voices/1088.wav
pathology,data/DataSets/Disorder Voices/1089.wav
pathology,data/DataSets/Disorder Voices/109.wav
pathology,data/DataSets/Disorder Voices/1090.wav
pathology,data/DataSets/Disorder Voices/1091.wav
pathology,data/DataSets/Disorder Voices/1092.wav
pathology,data/DataSets/Disorder Voices/1093.wav
pathology,data/DataSets/Disorder Voices/1094.wav
pathology,data/DataSets/Disorder Voices/1095.wav
pathology,data/DataSets/Disorder Voices/1096.wav
pathology,data/DataSets/Disorder Voices/1097.wav
pathology,data/DataSets/Disorder Voices/1098.wav
pathology,data/DataSets/Disorder Voices/1099.wav
pathology,data/DataSets/Disorder Voices/11.wav
pathology,data/DataSets/Disorder Voices/110.wav
pathology,data/DataSets/Disorder Voices/1100.wav
pathology,data/DataSets/Disorder Voices/1101.wav
pathology,data/DataSets/Disorder Voices/1102.wav
pathology,data/DataSets/Disorder Voices/1103.wav
pathology,data/DataSets/Disorder Voices/1104.wav
pathology,data/DataSets/Disorder Voices/1105.wav
pathology,data/DataSets/Disorder Voices/1106.wav
pathology,data/DataSets/Disorder Voices/1107.wav
pathology,data/DataSets/Disorder Voices/1108.wav
pathology,data/DataSets/Disorder Voices/1109.wav
pathology,data/DataSets/Disorder Voices/111.wav
pathology,data/DataSets/Disorder Voices/1110.wav
pathology,data/DataSets/Disorder Voices/1111.wav
pathology,data/DataSets/Disorder Voices/1112.wav
pathology,data/DataSets/Disorder Voices/1113.wav
pathology,data/DataSets/Disorder Voices/1114.wav
pathology,data/DataSets/Disorder Voices/1115.wav
pathology,data/DataSets/Disorder Voices/1116.wav
pathology,data/DataSets/Disorder Voices/1117.wav
pathology,data/DataSets/Disorder Voices/1118.wav
pathology,data/DataSets/Disorder Voices/1119.wav
pathology,data/DataSets/Disorder Voices/112.wav
pathology,data/DataSets/Disorder Voices/1120.wav
pathology,data/DataSets/Disorder Voices/1121.wav
pathology,data/DataSets/Disorder Voices/1122.wav
pathology,data/DataSets/Disorder Voices/1123.wav
pathology,data/DataSets/Disorder Voices/1124.wav
pathology,data/DataSets/Disorder Voices/1125.wav
pathology,data/DataSets/Disorder Voices/1126.wav
pathology,data/DataSets/Disorder Voices/1127.wav
pathology,data/DataSets/Disorder Voices/1128.wav
pathology,data/DataSets/Disorder Voices/1129.wav
pathology,data/DataSets/Disorder Voices/113.wav
pathology,data/DataSets/Disorder Voices/1130.wav
pathology,data/DataSets/Disorder Voices/1131.wav
pathology,data/DataSets/Disorder Voices/1132.wav
pathology,data/DataSets/Disorder Voices/1133.wav
pathology,data/DataSets/Disorder Voices/1134.wav
pathology,data/DataSets/Disorder Voices/1135.wav
pathology,data/DataSets/Disorder Voices/1136.wav
pathology,data/DataSets/Disorder Voices/1137.wav
pathology,data/DataSets/Disorder Voices/1138.wav
pathology,data/DataSets/Disorder Voices/1139.wav
pathology,data/DataSets/Disorder Voices/114.wav
pathology,data/DataSets/Disorder Voices/1140.wav
pathology,data/DataSets/Disorder Voices/1141.wav
pathology,data/DataSets/Disorder Voices/1142.wav
pathology,data/DataSets/Disorder Voices/1143.wav
pathology,data/DataSets/Disorder Voices/1144.wav
pathology,data/DataSets/Disorder Voices/1145.wav
pathology,data/DataSets/Disorder Voices/1146.wav
pathology,data/DataSets/Disorder Voices/1147.wav
pathology,data/DataSets/Disorder Voices/1148.wav
pathology,data/DataSets/Disorder Voices/1149.wav
pathology,data/DataSets/Disorder Voices/115.wav
pathology,data/DataSets/Disorder Voices/1150.wav
pathology,data/DataSets/Disorder Voices/1151.wav
pathology,data/DataSets/Disorder Voices/1152.wav
pathology,data/DataSets/Disorder Voices/1153.wav
pathology,data/DataSets/Disorder Voices/1154.wav
pathology,data/DataSets/Disorder Voices/1155.wav
pathology,data/DataSets/Disorder Voices/1156.wav
pathology,data/DataSets/Disorder Voices/1157.wav
pathology,data/DataSets/Disorder Voices/1158.wav
pathology,data/DataSets/Disorder Voices/1159.wav
pathology,data/DataSets/Disorder Voices/116.wav
pathology,data/DataSets/Disorder Voices/1160.wav
pathology,data/DataSets/Disorder Voices/1161.wav
pathology,data/DataSets/Disorder Voices/1162.wav
pathology,data/DataSets/Disorder Voices/1163.wav
pathology,data/DataSets/Disorder Voices/1164.wav
pathology,data/DataSets/Disorder Voices/1165.wav
pathology,data/DataSets/Disorder Voices/1166.wav
pathology,data/DataSets/Disorder Voices/1167.wav
pathology,data/DataSets/Disorder Voices/1168.wav
pathology,data/DataSets/Disorder Voices/1169.wav
pathology,data/DataSets/Disorder Voices/117.wav
pathology,data/DataSets/Disorder Voices/1170.wav
pathology,data/DataSets/Disorder Voices/1171.wav
pathology,data/DataSets/Disorder Voices/1172.wav
pathology,data/DataSets/Disorder Voices/1173.wav
pathology,data/DataSets/Disorder Voices/1174.wav
pathology,data/DataSets/Disorder Voices/1175.wav
pathology,data/DataSets/Disorder Voices/1176.wav
pathology,data/DataSets/Disorder Voices/1177.wav
pathology,data/DataSets/Disorder Voices/1178.wav
pathology,data/DataSets/Disorder Voices/1179.wav
pathology,data/DataSets/Disorder Voices/118.wav
pathology,data/DataSets/Disorder Voices/1180.wav
pathology,data/DataSets/Disorder Voices/1181.wav
pathology,data/DataSets/Disorder Voices/1182.wav
pathology,data/DataSets/Disorder Voices/1183.wav
pathology,data/DataSets/Disorder Voices/1184.wav
pathology,data/DataSets/Disorder Voices/1185.wav
pathology,data/DataSets/Disorder Voices/1186.wav
pathology,data/DataSets/Disorder Voices/1187.wav
pathology,data/DataSets/Disorder Voices/1188.wav
pathology,data/DataSets/Disorder Voices/1189.wav
pathology,data/DataSets/Disorder Voices/119.wav
pathology,data/DataSets/Disorder Voices/1190.wav
pathology,data/DataSets/Disorder Voices/1191.wav
pathology,data/DataSets/Disorder Voices/1192.wav
pathology,data/DataSets/Disorder Voices/1193.wav
pathology,data/DataSets/Disorder Voices/1194.wav
pathology,data/DataSets/Disorder Voices/1195.wav
pathology,data/DataSets/Disorder Voices/1196.wav
pathology,data/DataSets/Disorder Voices/1197.wav
pathology,data/DataSets/Disorder Voices/1198.wav
pathology,data/DataSets/Disorder Voices/1199.wav
pathology,data/DataSets/Disorder Voices/12.wav
pathology,data/DataSets/Disorder Voices/120.wav
pathology,data/DataSets/Disorder Voices/1200.wav
pathology,data/DataSets/Disorder Voices/1201.wav
pathology,data/DataSets/Disorder Voices/1202.wav
pathology,data/DataSets/Disorder Voices/1203.wav
pathology,data/DataSets/Disorder Voices/1204.wav
pathology,data/DataSets/Disorder Voices/1205.wav
pathology,data/DataSets/Disorder Voices/1206.wav
pathology,data/DataSets/Disorder Voices/1207.wav
pathology,data/DataSets/Disorder Voices/1208.wav
pathology,data/DataSets/Disorder Voices/1209.wav
pathology,data/DataSets/Disorder Voices/121.wav
pathology,data/DataSets/Disorder Voices/1210.wav
pathology,data/DataSets/Disorder Voices/1211.wav
pathology,data/DataSets/Disorder Voices/1212.wav
pathology,data/DataSets/Disorder Voices/1213.wav
pathology,data/DataSets/Disorder Voices/1214.wav
pathology,data/DataSets/Disorder Voices/1215.wav
pathology,data/DataSets/Disorder Voices/1216.wav
pathology,data/DataSets/Disorder Voices/1217.wav
pathology,data/DataSets/Disorder Voices/1218.wav
pathology,data/DataSets/Disorder Voices/1219.wav
pathology,data/DataSets/Disorder Voices/122.wav
pathology,data/DataSets/Disorder Voices/1220.wav
pathology,data/DataSets/Disorder Voices/1221.wav
pathology,data/DataSets/Disorder Voices/1222.wav
pathology,data/DataSets/Disorder Voices/1223.wav
pathology,data/DataSets/Disorder Voices/1224.wav
pathology,data/DataSets/Disorder Voices/1225.wav
pathology,data/DataSets/Disorder Voices/1226.wav
pathology,data/DataSets/Disorder Voices/1227.wav
pathology,data/DataSets/Disorder Voices/1228.wav
pathology,data/DataSets/Disorder Voices/1229.wav
pathology,data/DataSets/Disorder Voices/123.wav
pathology,data/DataSets/Disorder Voices/1230.wav
pathology,data/DataSets/Disorder Voices/1231.wav
pathology,data/DataSets/Disorder Voices/1232.wav
pathology,data/DataSets/Disorder Voices/1233.wav
pathology,data/DataSets/Disorder Voices/1234.wav
pathology,data/DataSets/Disorder Voices/1235.wav
pathology,data/DataSets/Disorder Voices/1236.wav
pathology,data/DataSets/Disorder Voices/1237.wav
pathology,data/DataSets/Disorder Voices/1238.wav
pathology,data/DataSets/Disorder Voices/1239.wav
pathology,data/DataSets/Disorder Voices/124.wav
pathology,data/DataSets/Disorder Voices/1240.wav
pathology,data/DataSets/Disorder Voices/1241.wav
pathology,data/DataSets/Disorder Voices/1242.wav
pathology,data/DataSets/Disorder Voices/1243.wav
pathology,data/DataSets/Disorder Voices/1244.wav
pathology,data/DataSets/Disorder Voices/1245.wav
pathology,data/DataSets/Disorder Voices/1246.wav
pathology,data/DataSets/Disorder Voices/1247.wav
pathology,data/DataSets/Disorder Voices/1248.wav
pathology,data/DataSets/Disorder Voices/1249.wav
pathology,data/DataSets/Disorder Voices/125.wav
pathology,data/DataSets/Disorder Voices/1250.wav
pathology,data/DataSets/Disorder Voices/1251.wav
pathology,data/DataSets/Disorder Voices/1252.wav
pathology,data/DataSets/Disorder Voices/1253.wav
pathology,data/DataSets/Disorder Voices/1254.wav
pathology,data/DataSets/Disorder Voices/1255.wav
pathology,data/DataSets/Disorder Voices/1256.wav
pathology,data/DataSets/Disorder Voices/1257.wav
pathology,data/DataSets/Disorder Voices/1258.wav
pathology,data/DataSets/Disorder Voices/1259.wav
pathology,data/DataSets/Disorder Voices/126.wav
pathology,data/DataSets/Disorder Voices/1260.wav
pathology,data/DataSets/Disorder Voices/1261.wav
pathology,data/DataSets/Disorder Voices/1262.wav
pathology,data/DataSets/Disorder Voices/1263.wav
pathology,data/DataSets/Disorder Voices/1264.wav
pathology,data/DataSets/Disorder Voices/1265.wav
pathology,data/DataSets/Disorder Voices/1266.wav
pathology,data/DataSets/Disorder Voices/1267.wav
pathology,data/DataSets/Disorder Voices/1268.wav
pathology,data/DataSets/Disorder Voices/1269.wav
pathology,data/DataSets/Disorder Voices/127.wav
pathology,data/DataSets/Disorder Voices/1270.wav
pathology,data/DataSets/Disorder Voices/1271.wav
pathology,data/DataSets/Disorder Voices/1272.wav
pathology,data/DataSets/Disorder Voices/1273.wav
pathology,data/DataSets/Disorder Voices/1274.wav
pathology,data/DataSets/Disorder Voices/1275.wav
pathology,data/DataSets/Disorder Voices/1276.wav
pathology,data/DataSets/Disorder Voices/1277.wav
pathology,data/DataSets/Disorder Voices/1278.wav
pathology,data/DataSets/Disorder Voices/1279.wav
pathology,data/DataSets/Disorder Voices/128.wav
pathology,data/DataSets/Disorder Voices/1280.wav
pathology,data/DataSets/Disorder Voices/1281.wav
pathology,data/DataSets/Disorder Voices/1282.wav
pathology,data/DataSets/Disorder Voices/1283.wav
pathology,data/DataSets/Disorder Voices/1284.wav
pathology,data/DataSets/Disorder Voices/1285.wav
pathology,data/DataSets/Disorder Voices/1286.wav
pathology,data/DataSets/Disorder Voices/1287.wav
pathology,data/DataSets/Disorder Voices/1288.wav
pathology,data/DataSets/Disorder Voices/1289.wav
pathology,data/DataSets/Disorder Voices/129.wav
pathology,data/DataSets/Disorder Voices/1290.wav
pathology,data/DataSets/Disorder Voices/1291.wav
pathology,data/DataSets/Disorder Voices/1292.wav
pathology,data/DataSets/Disorder Voices/1293.wav
pathology,data/DataSets/Disorder Voices/1294.wav
pathology,data/DataSets/Disorder Voices/1295.wav
